"class" "test" "dei_paschi" "mont_dei" "danish" "dei" "dutch" "nordlb" "rescu" "brexit" "denmark" "fine" "deposit" "nordea" "estonia" "incom" "swedish" "foreign" "tax" "prosecutor" "suspici" "combin" "ing" "offer" "control" "mont" "show" "paschi" "industri" "member" "save" "inform" "branch" "restructur" "baltic" "ratio" "analyst" "banca" "pai" "commiss" "target" "sector" "term" "privat" "economi" "region" "tuesdai" "econom" "larg" "mondai" "start" "person" "fridai" "custom" "involv" "face" "estonian" "servic" "system" "stake" "recent" "continu" "fail" "offici" "minist" "result" "account" "net" "discuss" "sell" "declin_comment" "intern" "decis" "nation" "supervisori" "debt" "top" "unicredit" "familiar" "crisi" "rais" "set" "increas" "requir" "work" "credit" "sale" "wednesdai" "global" "thursdai" "quarter" "ag" "europ" "loss" "move" "issu" "ceo" "ad" "statement" "bad" "job" "close" "sew" "hold" "interest" "revenu" "head" "chief_execut" "meet" "client" "back" "reuter" "week" "dansk_bank" "firm" "transact" "largest" "alleg" "base" "potenti" "offic" "union" "call" "biggest" "scandal" "rule" "equiti" "sharehold" "sourc" "invest_bank" "group" "rate" "part" "told" "declin" "talk" "case" "matter" "bond" "oper" "board" "end" "million_euro" "germani" "month" "compani" "unit" "expect" "make" "profit" "chief" "cut" "time" "financ" "comment" "itali" "central_bank" "includ" "italian" "regul" "investig" "swedbank" "cost" "ecb" "carig" "trade" "author" "countri" "central" "german" "risk" "state" "peopl" "asset" "share" "execut" "investor" "merger" "fund" "invest" "deal" "manag" "commerzbank" "eu" "loan" "dansk" "govern" "monei_launder" "busi" "billion_euro" "million" "plan" "market" "launder" "report" "capit" "percent" "monei" "european" "financi" "lender" "billion" "deutsch_bank" "year" "euro" "deutsch" "bank"
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.20495424331957 2.43256541189349 0 0 0 0 0 0 2.17855974919662 0 0 0 0 0 0 0 0 2.02710030378533 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.70638770565706 0 0 0 0 0 0 0 0 0 1.82507367591204 0 0 0 0 0 0 0 0 0 0 0 0 3.5051279210921 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.26939371042308 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.32775347534586 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.740791212798755 0 0 0 0 0 0.0888598614609919
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.17855974919662 0 0 0 0 0 0 0 0 0 0 0 2.01228521800019 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.10735032979691 0 1.80894429398216 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.80694629131948 0 0 0 0 1.82507367591204 0 0 0 1.72736430698973 0 0 0 0 0 1.66138672962454 0 0 0 0 0 0 0 0 0 0 0 0 0 1.50958071675654 0 1.52904240884934 5.62845913102682 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.13513594881377 2.741378726102 0 1.44152725351152 0 1.73662363240253 0 0 0 0 0 4.53878742084616 0 0 0 1.35025442463669 0 0 0 1.77261236473477 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.916126918293643 0 0.740791212798755 0 0 0 0 0 0.177719722921984
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.22294573311261 0 0 0 0 0 0 0 0 2.26939371042308 0 0 0 0 0 0 0 2.06125922259665 0 2.22143401702728 0 0 2.02337590469434 4.02457043600037 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.92885459065471 2.10331535458473 0 0 0 0 0 1.97381893717239 0 0 0 0 0 0 0 0 0 0 0 0 0 2.05356687697349 0 0 0 0 4.1432172069173 0 0 0 0 0 0 3.41277541131413 0 0 1.83631549077829 0 1.80694629131948 0 0 0 0 0 2.00983723636155 0 0 0 0 4.02702291944686 0 0 4.1852686903288 0 0 0 0 1.65880163555244 0 0 0 1.9413334820279 0 0 0 5.07081829279397 1.95397006603241 1.50958071675654 0 0 0 3.81752925852873 0 7.83906873486696 0 0 0 0 0 0 0 1.68938505892452 0 0 1.69294061822585 0 0 0 0 1.370689363051 0 0 2.91939373174444 0 0 0 0 0 0 0 0 0 0 0 1.56678273683218 0 2.982436200364 0 1.48686079481304 0 0 8.59950806524597 0 2.83110353421652 0 1.45057079340784 2.65550695069171 0 0 0 0 0 0 0 2.58745664382974 0 0 0 0 0 3.28210686492209 1.30574769738066 0 0 0 0.740791212798755 2.91898894437162 0 0.77256208185018 1.71225757485126 0 0.355439445843968
1 0 0 0 0 0 0 0 2.58330152996764 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.22901555447968 0 2.43256541189349 0 0 0 0 0 0 2.17855974919662 0 0 0 0 2.10063438783148 0 0 0 0 0 0 4.02457043600037 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.85394165991289 0 0 0 1.96559810402753 0 0 1.96093065098004 0 0 0 1.82202953353081 0 0 0 0 0 0 0 5.716365583089 0 1.70548558561393 0 2.03584489417408 0 0 0 0 0 0 1.83118990292948 0 5.47522102773612 0 0 0 1.72736430698973 0 0 0 0 0 0 1.72552268584308 0 0 0 0 0 0 1.9413334820279 3.72469014141854 0 0 1.69027276426466 0 1.50958071675654 3.04753070349699 0 0 0 1.56756797440689 7.83906873486696 0 0 1.49778986534523 0 0 1.43669132008011 0 0 0 0 0 0 0 0 1.56756797440689 0 3.41277541131413 1.44152725351152 0 1.73662363240253 0 0 0 0 3.92419094695266 15.8857559729616 3.58811136297681 0 0 1.35025442463669 0 0 0 0 0 4.20244820536352 0 0 5.10296145743119 2.83110353421652 0 0 1.32775347534586 0 0 1.57308197026017 0 1.35659559997514 0 0 0 0 0 1.15142429106536 0 1.9765675862465 2.1880712432814 0 0 0.916126918293643 0 0.740791212798755 0 0 0.77256208185018 0 0 0.799738753148927
1 0 0 0 0 0 0 0 0 0 0 0 2.74034866366636 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.17855974919662 0 0 0 0 6.30190316349443 0 0 0 2.02710030378533 0 0 2.01228521800019 2.07160860345865 0 0 0 0 1.94591014905531 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.19902830005202 0 0 0 0 0 0 1.90105958288996 0 1.88259083415045 0 2.05356687697349 0 0 0 0 0 0 0 0 1.905455194363 0 0 3.41277541131413 0 0 0 0 0 0 0 0 0 1.82507367591204 0 1.74222066193925 0 0 0 0 0 0 0 1.66138672962454 1.72552268584308 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.87930155115022 1.62412585698961 0 2.99557973069047 1.80594878500236 0 1.43669132008011 0 0 0 0 0 0 1.77938549174061 0 0 0 3.41277541131413 1.44152725351152 1.45969686587222 0 0 0 0 0 1.96209547347633 13.6163622625385 0 0 0 1.35025442463669 0 1.40347918587399 2.982436200364 0 0 0 0 1.43325134420766 0 4.24665530132478 0 0 0 0 0 1.57308197026017 0 0 0 1.3166900558016 0 1.48252239321444 3.65348951696209 0 0 0 1.0940356216407 2.61149539476131 0 0.916126918293643 0 1.48158242559751 0 0 0 0.856128787425629 0 0.44429930730496
1 0 3.01625599957361 3.01625599957361 0 3.00958930821542 0 0 2.58330152996764 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.96730658705604 0 2.96730658705604 0 0 0 0 0 0 0 0 0 2.17855974919662 0 0 0 0 0 2.06125922259665 0 0 2.02710030378533 0 0 4.02457043600037 0 0 0 0 0 0 0 0 0 0 0 0 1.93111192795636 0 0 0 0 0 0 0 0 0 0 0 0 2.19902830005202 0 0 0 0 1.96559810402753 3.74376818751206 0 0 0 0 0 0 0 0 0 0 0 0 0 1.905455194363 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.72736430698973 0 0 0 3.42182110742158 0 0 1.72552268584308 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.95976718371674 0 0 2.99557973069047 1.80594878500236 0 0 0 0 0 0 0 0 0 0 0 0 3.41277541131413 1.44152725351152 0 0 0 0 0 3.19412786989331 0 11.3469685521154 0 0 2.81363617427901 1.35025442463669 0 0 1.491218100182 0 0 1.40081606845451 0 0 0 1.41555176710826 0 0 0 0 0 0 0 1.35659559997514 0 0 3.88118496574462 1.48252239321444 1.21782983898736 0 0 0 2.1880712432814 0 0 0.916126918293643 0 0.740791212798755 2.91898894437162 0 0.77256208185018 3.42451514970251 0 0.266579584382976
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.02710030378533 0 0 2.01228521800019 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.98573426428617 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.810910388726 0 1.70548558561393 0 0 0 0 0 0 0 0 0 0 0 0 1.74222066193925 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.88366784017809 0 0 0 0 0 0 0 0 0 0 0 0 1.95976718371674 0 0 0 0 0 0 0 0 1.49267476467846 0 0 0 0 0 0 0 1.70638770565706 0 0 1.73662363240253 0 0 0 0 0 4.53878742084616 0 0 0 0 0 0 1.491218100182 0 0 0 0 0 1.70098715247706 1.41555176710826 0 0 0 0 0 0 0 2.71319119995028 0 0 0 0 0 0 0 0 0 0 0 0 0 0.740791212798755 0 0 0 0 0 0.266579584382976
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.43256541189349 0 0 0 0 0 0 0 0 0 0 0 2.10063438783148 0 0 0 0 0 0 0 2.07160860345865 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.10331535458473 0 0 0 0 0 0 2.04213818114987 0 0 0 0 0 0 0 0 0 0 0 2.15708433547105 0 1.82202953353081 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.67441340102455 0 0 0 0 1.37392038363245 0 0 1.56756797440689 0 0 0 0 3.47324726480506 0 0 0 0 0 9.07757484169232 0 0 0 0 0 0 1.491218100182 1.77261236473477 0 0 1.27772798056843 0 0 0 0 0 1.32775347534586 0 0 0 0 0 0 0 0 0 0 0 0 0 1.0940356216407 0 2.5910440887378 0 0 0 0 0 0 0.856128787425629 0 0.266579584382976
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.99286713214308 0 0 0 0 0 0 0 0 0 0 0 0 2.77652832024386 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.72552268584308 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.70638770565706 0 0 0 0 0 0 0 0 2.26939371042308 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.22445973794382 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.905455194363 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.72736430698973 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.95976718371674 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.70638770565706 0 0 0 0 0 0 0 0 4.53878742084616 0 0 0 0 0 0 0 0 0 1.40081606845451 0 0 0 1.41555176710826 0 0 0 0 3.71207180303201 0 0 2.71319119995028 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0888598614609919
